"Confirmed date","Country","HPAI strain","WOAH Classification","Cases"
2021-11-24,"Bulgaria","H5N1","Captive birds",1
2021-11-24,"Slovakia","H5N1","Wild birds",1
2021-11-25,"Italy","H5N1","Farm",5
2021-11-25,"Hungary","H5N1","Farm",4
2021-11-25,"Hungary","H5N1","Wild birds",1
2021-11-25,"Germany","H5N1","Farm",1
2021-11-25,"Germany","H5N1","Wild birds",5
2021-11-25,"Estonia","H5N1","Wild birds",3
2021-11-25,"Croatia","H5N1","Wild birds",1
2021-11-25,"Austria","H5N1","Backyard",1
2021-11-26,"Belgium","H5","Wild birds",1
2021-11-26,"The Netherlands","H5N1","Wild birds",6
2021-11-26,"Northern Ireland","H5N1","Wild birds",1
2021-11-26,"Italy","H5N1","Farm",4
2021-11-26,"Ireland","H5N1","Wild birds",3
2021-11-26,"Germany","H5N1","Wild birds",11
2021-11-26,"France","H5N1","Farm",1
2021-11-26,"France","H5N1","Wild birds",3
2021-11-26,"Czech Republic","H5N1","Backyard",1
2021-11-26,"Croatia","H5N1","Farm",1
2021-11-27,"Romania","H5N1","Wild birds",1
2021-11-27,"Luxembourg","H5N1","Wild birds",2
2021-11-27,"Italy","H5N1","Farm",2
2021-11-27,"Italy","H5N1","Wild birds",1
2021-11-27,"Hungary","H5N1","Backyard",1
2021-11-28,"Poland","H5N1","Farm",1
2021-11-28,"Italy","H5N1","Farm",5
2021-11-29,"The Netherlands","H5N1","Wild birds",6
2021-11-29,"Sweden","H5N1","Wild birds",2
2021-11-29,"Poland","H5N1","Farm",1
2021-11-29,"Northern Ireland","H5N1","Wild birds",2
2021-11-29,"Italy","H5N1","Farm",7
2021-11-29,"Italy","H5N1","Wild birds",1
2021-11-29,"Hungary","H5N1","Farm",3
2021-11-29,"Germany","H5N1","Farm",2
2021-11-29,"Germany","H5N1","Wild birds",21
2021-11-29,"Croatia","H5N1","Wild birds",1
2021-11-29,"Belgium","H5N1","Wild birds",3
2021-11-30,"Italy","H5","Wild birds",1
2021-11-30,"The Netherlands","H5N1","Wild birds",3
2021-11-30,"Norway","H5N1","Wild birds",1
2021-11-30,"Italy","H5N1","Farm",9
2021-11-30,"Ireland","H5N1","Farm",1
2021-11-30,"Germany","H5N1","Farm",2
2021-11-30,"Germany","H5N1","Wild birds",3
2021-11-30,"Czech Republic","H5N1","Backyard",1
2021-11-30,"Czech Republic","H5N1","Wild birds",1
2021-12-01,"The Netherlands","H5N8","Wild birds",1
2021-12-01,"The Netherlands","H5N1","Wild birds",10
2021-12-01,"Sweden","H5N1","Captive birds",1
2021-12-01,"Portugal","H5N1","Captive birds",1
2021-12-01,"Poland","H5N1","Farm",3
2021-12-01,"Italy","H5N1","Backyard",2
2021-12-01,"Italy","H5N1","Farm",6
2021-12-01,"Hungary","H5N1","Farm",1
2021-12-01,"Hungary","H5N1","Wild birds",1
2021-12-01,"Germany","H5N1","Farm",1
2021-12-01,"Germany","H5N1","Wild birds",8
2021-12-01,"France","H5N1","Captive birds",1
2021-12-01,"France","H5N1","Wild birds",1
2021-12-01,"Denmark","H5N1","Wild birds",4
2021-12-01,"Bulgaria","H5","Backyard",1
2021-12-01,"The Netherlands","H5","Captive birds",1
2021-12-02,"Italy","H5N1","Farm",6
2021-12-02,"Bulgaria","H5","Farm",1
2021-12-02,"Bulgaria","H5","Backyard",1
2021-12-02,"Germany","H5N1","Wild birds",3
2021-12-02,"Estonia","H5N1","Wild birds",1
2021-12-02,"Poland","H5N1","Farm",2
2021-12-02,"Germany","H5N1","Farm",2
2021-12-02,"Hungary","H5N1","Wild birds",1
2021-12-02,"Hungary","H5N1","Farm",3
2021-12-02,"Ireland","H5N1","Wild birds",3
2021-12-03,"The Netherlands","H5N1","Wild birds",5
2021-12-03,"Poland","H5N1","Farm",1
2021-12-03,"Italy","H5N1","Farm",9
2021-12-03,"Germany","H5N1","Wild birds",2
2021-12-03,"France","H5N1","Captive birds",2
2021-12-03,"Denmark","H5N1","Wild birds",2
2021-12-03,"The Netherlands","H5","Wild birds",2
2021-12-04,"The Netherlands","H5N1","Wild birds",1
2021-12-04,"Italy","H5N1","Farm",4
2021-12-04,"Hungary","H5N1","Farm",1
2021-12-04,"Hungary","H5N1","Wild birds",1
2021-12-05,"Italy","H5N1","Farm",1
2021-12-05,"Hungary","H5N1","Farm",1
2021-12-06,"Sweden","H5N1","Wild birds",1
2021-12-06,"Poland","H5N1","Farm",2
2021-12-06,"Italy","H5N1","Backyard",1
2021-12-06,"Italy","H5N1","Farm",12
2021-12-06,"Germany","H5N1","Farm",1
2021-12-06,"Germany","H5N1","Wild birds",7
2021-12-06,"France","H5N1","Farm",1
2021-12-06,"Denmark","H5N1","Wild birds",3
2021-12-07,"Poland","H5N1","Farm",3
2021-12-07,"Northern Ireland","H5N1","Backyard",1
2021-12-07,"Northern Ireland","H5N1","Farm",1
2021-12-07,"Italy","H5N1","Farm",11
2021-12-07,"Ireland","H5N1","Farm",1
2021-12-07,"Hungary","H5N1","Farm",1
2021-12-07,"Germany","H5N1","Wild birds",1
2021-12-07,"France","H5N1","Farm",3
2021-12-07,"France","H5N1","Wild birds",4
2021-12-08,"The Netherlands","H5N1","Wild birds",4
2021-12-08,"Italy","H5N1","Farm",2
2021-12-08,"Italy","H5N1","Wild birds",1
2021-12-08,"Hungary","H5N1","Farm",2
2021-12-08,"Germany","H5N1","Farm",1
2021-12-08,"Germany","H5N1","Wild birds",18
2021-12-08,"Denmark","H5N1","Wild birds",1
2021-12-08,"Belgium","H5N1","Farm",2
2021-12-08,"Belgium","H5N1","Wild birds",1
2021-12-08,"The Netherlands","H5","Wild birds",3
