"n","ADIS Reference","Region","Code region","Province","Code province","Abbreviation province","Latitude","Longitude","Species","HPAI strain","Confirmation date","Extinction date","Measures Protection Zone in force until","Measures Surveillance Zone in force until"
69,"IT-HPAI(P)-2021-00075","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Broiler","H5N1",2021-11-19,2021-12-17,2022-01-21,2022-01-30
70,"IT-HPAI(P)-2021-00076","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-11-19,2021-12-14,2022-01-21,2022-01-30
71,"IT-HPAI(P)-2021-00077","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-11-19,2021-11-27,2022-01-21,2022-01-30
72,"IT-HPAI(P)-2021-00078","VENETO",5,"PADOVA",28,"PD",45.40692987,11.87608718,"Broiler","H5N1",2021-11-20,2021-11-26,2022-01-21,2022-01-30
73,"IT-HPAI(P)-2021-00079","VENETO",5,"PADOVA",28,"PD",45.40692987,11.87608718,"Ducks","H5N1",2021-11-20,2021-12-05,2022-01-21,2022-01-30
74,"IT-HPAI(P)-2021-00080","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Broiler","H5N1",2021-11-21,2021-12-24,2022-01-20,2022-01-29
75,"IT-HPAI(P)-2021-00081","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-11-21,2021-12-24,2022-01-27,2022-02-05
76,"IT-HPAI(P)-2021-00082","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-11-22,2021-12-15,2022-01-30,2022-02-08
77,"IT-HPAI(P)-2021-00083","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-11-21,2021-12-29,2022-01-19,2022-01-28
78,"IT-HPAI(P)-2021-00084","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Laying hen","H5N1",2021-11-22,2021-12-02,2022-01-30,2022-02-08
79,"IT-HPAI(P)-2021-00085","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Broiler","H5N1",2021-11-22,2021-12-15,2022-01-05,2022-01-14
80,"IT-HPAI(P)-2021-00086","VENETO",5,"PADOVA",28,"PD",45.40692987,11.87608718,"Broiler","H5N1",2021-11-22,2021-12-04,2022-01-25,2022-02-03
81,"IT-HPAI(P)-2021-00087","LOMBARDIA",3,"MANTOVA",20,"MN",45.15726772,10.79277363,"Laying hen","H5N1",2021-11-23,2021-12-22,2022-01-12,2022-01-21
82,"IT-HPAI(P)-2021-00088","LOMBARDIA",3,"MANTOVA",20,"MN",45.15726772,10.79277363,"Meat turkey","H5N1",2021-11-19,2021-12-01,2021-12-21,2021-12-31
83,"IT-HPAI(P)-2021-00089","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Broiler","H5N1",2021-11-23,2021-12-11,2022-01-30,2022-02-08
84,"IT-HPAI(P)-2021-00090","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-11-23,2021-12-21,2022-01-19,2022-01-28
85,"IT-HPAI(P)-2021-00091","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Broiler","H5N1",2021-11-23,2021-12-01,2021-12-22,2021-12-31
86,"IT-HPAI(P)-2021-00092","VENETO",5,"PADOVA",28,"PD",45.40692987,11.87608718,"Meat turkey","H5N1",2021-11-23,2021-12-02,2021-12-23,2022-01-01
