"Confirmed date","Country","Lat","Long","HPAI strain","WOAH Classification","Cases"
2021-11-25,"Italy",41.87194,12.56738,"H5N1","Farm","5"
2021-11-25,"Hungary",47.1625,19.5033,"H5N1","Farm","4"
2021-11-25,"Hungary",47.1625,19.5033,"H5N1","Wild birds","1"
2021-11-25,"Germany",51.165691,10.451526,"H5N1","Farm","1"
2021-11-25,"Germany",51.165691,10.451526,"H5N1","Wild birds","5"
2021-11-25,"Estonia",58.5953,25.0136,"H5N1","Wild birds","3"
2021-11-25,"Croatia",45.1,15.2,"H5N1","Wild birds","1"
2021-11-25,"Austria",47.5162,14.5501,"H5N1","Backyard","1"
2021-11-26,"Belgium",50.8333,44.69936,"H5","Wild birds","1"
2021-11-26,"The Netherlands",52.1326,5.2913,"H5N1","Wild birds","6"
2021-11-26,"Northern Ireland",53.1424,-7.6921,"H5N1","Wild birds","1"
2021-11-26,"Italy",41.87194,12.56738,"H5N1","Farm","4"
2021-11-26,"Ireland",53.1424,-7.6921,"H5N1","Wild birds","3"
2021-11-26,"Germany",51.165691,10.451526,"H5N1","Wild birds","11"
2021-11-26,"France",46.2276,2.2137,"H5N1","Farm","1"
2021-11-26,"France",46.2276,2.2137,"H5N1","Wild birds","3"
2021-11-26,"Czech Republic",49.8175,15.473,"H5N1","Backyard","1"
2021-11-26,"Croatia",45.1,15.2,"H5N1","Farm","1"
2021-11-27,"Romania",45.9432,24.9668,"H5N1","Wild birds","1"
2021-11-27,"Luxembourg",49.8153,6.1296,"H5N1","Wild birds","2"
2021-11-27,"Italy",41.87194,12.56738,"H5N1","Farm","2"
2021-11-27,"Italy",41.87194,12.56738,"H5N1","Wild birds","1"
2021-11-27,"Hungary",47.1625,19.5033,"H5N1","Backyard","1"
2021-11-28,"Poland",51.9194,19.1451,"H5N1","Farm","1"
2021-11-28,"Italy",41.87194,12.56738,"H5N1","Farm","5"
2021-11-29,"The Netherlands",52.1326,5.2913,"H5N1","Wild birds","6"
2021-11-29,"Sweden",60.128161,18.643501,"H5N1","Wild birds","2"
2021-11-29,"Poland",51.9194,19.1451,"H5N1","Farm","1"
2021-11-29,"Northern Ireland",53.1424,-7.6921,"H5N1","Wild birds","2"
2021-11-29,"Italy",41.87194,12.56738,"H5N1","Farm","7"
2021-11-29,"Italy",41.87194,12.56738,"H5N1","Wild birds","1"
2021-11-29,"Hungary",47.1625,19.5033,"H5N1","Farm","3"
2021-11-29,"Germany",51.165691,10.451526,"H5N1","Farm","2"
2021-11-29,"Germany",51.165691,10.451526,"H5N1","Wild birds","21"
2021-11-29,"Croatia",45.1,15.2,"H5N1","Wild birds","1"
2021-11-29,"Belgium",50.8333,44.69936,"H5N1","Wild birds","3"
2021-11-30,"Italy",41.87194,12.56738,"H5","Wild birds","1"
2021-11-30,"The Netherlands",52.1326,5.2913,"H5N1","Wild birds","3"
2021-11-30,"Norway",60.472,8.4689,"H5N1","Wild birds","1"
2021-11-30,"Italy",41.87194,12.56738,"H5N1","Farm","9"
2021-11-30,"Ireland",53.1424,-7.6921,"H5N1","Farm","1"
2021-11-30,"Germany",51.165691,10.451526,"H5N1","Farm","2"
2021-11-30,"Germany",51.165691,10.451526,"H5N1","Wild birds","3"
2021-11-30,"Czech Republic",49.8175,15.473,"H5N1","Backyard","1"
2021-11-30,"Czech Republic",49.8175,15.473,"H5N1","Wild birds","1"
2021-12-01,"The Netherlands",52.1326,5.2913,"H5N8","Wild birds","1"
2021-12-01,"The Netherlands",52.1326,5.2913,"H5N1","Wild birds","10"
2021-12-01,"Sweden",60.128161,18.643501,"H5N1","Captive birds","1"
2021-12-01,"Portugal",39.3999,-8.2245,"H5N1","Captive birds","1"
2021-12-01,"Poland",51.9194,19.1451,"H5N1","Farm","3"
2021-12-01,"Italy",41.87194,12.56738,"H5N1","Backyard","2"
2021-12-01,"Italy",41.87194,12.56738,"H5N1","Farm","6"
2021-12-01,"Hungary",47.1625,19.5033,"H5N1","Farm","1"
2021-12-01,"Hungary",47.1625,19.5033,"H5N1","Wild birds","1"
2021-12-01,"Germany",51.165691,10.451526,"H5N1","Farm","1"
2021-12-01,"Germany",51.165691,10.451526,"H5N1","Wild birds","8"
2021-12-01,"France",46.2276,2.2137,"H5N1","Captive birds","1"
2021-12-01,"France",46.2276,2.2137,"H5N1","Wild birds","1"
2021-12-01,"Denmark",56.2639,9.5018,"H5N1","Wild birds","4"
2021-12-01,"Bulgaria",42.7339,25.4858,"H5","Backyard","1"
2021-12-01,"The Netherlands",52.1326,5.2913,"H5","Captive birds","1"
2021-12-02,"Italy",41.87194,12.56738,"H5N1","Farm","6"
2021-12-02,"Bulgaria",42.7339,25.4858,"H5","Farm","1"
2021-12-02,"Bulgaria",42.7339,25.4858,"H5","Backyard","1"
2021-12-02,"Germany",51.165691,10.451526,"H5N1","Wild birds","3"
2021-12-02,"Estonia",58.5953,25.0136,"H5N1","Wild birds","1"
2021-12-02,"Poland",51.9194,19.1451,"H5N1","Farm","2"
2021-12-02,"Germany",51.165691,10.451526,"H5N1","Farm","2"
2021-12-02,"Hungary",47.1625,19.5033,"H5N1","Wild birds","1"
2021-12-02,"Hungary",47.1625,19.5033,"H5N1","Farm","3"
2021-12-02,"Ireland",53.1424,-7.6921,"H5N1","Wild birds","3"
2021-12-03,"The Netherlands",52.1326,5.2913,"H5N1","Wild birds","5"
2021-12-03,"Poland",51.9194,19.1451,"H5N1","Farm","1"
2021-12-03,"Italy",41.87194,12.56738,"H5N1","Farm","9"
2021-12-03,"Germany",51.165691,10.451526,"H5N1","Wild birds","2"
2021-12-03,"France",46.2276,2.2137,"H5N1","Captive birds","2"
2021-12-03,"Denmark",56.2639,9.5018,"H5N1","Wild birds","2"
2021-12-03,"The Netherlands",52.1326,5.2913,"H5","Wild birds","2"
2021-12-04,"The Netherlands",52.1326,5.2913,"H5N1","Wild birds","1"
2021-12-04,"Italy",41.87194,12.56738,"H5N1","Farm","4"
2021-12-04,"Hungary",47.1625,19.5033,"H5N1","Farm","1"
